last_name,first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Risch,James,1943-05-03,M,sen,ID,,Republican,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,01896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch
Roberts,Pat,1936-04-20,M,sen,KS,,Republican,http://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,205694792808927,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,00968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts
Sessions,Jefferson,1946-12-24,M,sen,AL,,Republican,http://www.sessions.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorSessions,jeffsessions,23444159584,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,01548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions
Shaheen,Jeanne,1947-01-28,F,sen,NH,,Democrat,http://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,127503767282103,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,01901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen
Udall,Tom,1948-05-18,M,sen,NM,,Democrat,http://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,http://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,106433512869,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,01567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall
Warner,Mark,1954-12-15,M,sen,VA,,Democrat,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,7935122852,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,01897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner
Gillibrand,Kirsten,1966-12-09,F,sen,NY,,Democrat,http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov/rss/,SenGillibrand,KirstenGillibrand,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,01866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand
Franken,Alan,1951-05-21,M,sen,MN,,Democrat,http://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,http://www.franken.senate.gov/?p=email_al,http://franken.senate.gov/rss/?p=hot_topic,,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,01969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken
Coons,Chris,1963-09-09,M,sen,DE,,Democrat,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,http://www.coons.senate.gov/contact/,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,254950754518205,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,01984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons
Manchin,Joe,1947-08-24,M,sen,WV,,Democrat,http://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,10150135395755161,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,01983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin
Aderholt,Robert,1965-07-22,M,rep,AL,4,Republican,https://aderholt.house.gov,235 Cannon HOB; Washington DC 20515-0104,202-225-4876,http://aderholt.house.gov/email-me2/,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,19787529402,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,01460,N00003028,,45516,400004,441,Robert B. Aderholt,gIQAw6QSAP,29701,Robert Aderholt
Amash,Justin,1980-04-18,M,rep,MI,3,Republican,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,https://amash.house.gov/contact-me/email-me,http://amash.house.gov/rss.xml,,repjustinamash,173604349345646,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,02029,N00031938,,1033767,412438,105566,Justin Amash,gIQAMkzZKP,21143,Justin Amash
Ayotte,Kelly,1968-06-27,F,sen,NH,,Republican,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,http://www.ayotte.senate.gov/?p=contact,http://ayotte.senate.gov/rss/?p=news,,kellyayottenh,123436097729198,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,02075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte
Baldwin,Tammy,1962-02-11,F,sen,WI,,Democrat,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,http://www.baldwin.senate.gov/contact,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,TammyBaldwin,7357041101,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,01558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin
Barletta,Lou,1956-01-28,M,rep,PA,11,Republican,http://barletta.house.gov,115 Cannon HOB; Washington DC 20515-3811,202-225-6511,https://barletta.house.gov/contact/email-me,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,192357174108435,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,02054,N00025495,,29618,412469,47143,Lou Barletta,gIQA3fVUKP,21171,Lou Barletta
Barton,Joe,1949-09-15,M,rep,TX,6,Republican,http://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,https://joebarton.house.gov/contact1/,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,15617630596,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,00062,N00005656,,5248,400018,27082,,gIQAhoxEAP,15085,Joe Barton
Bass,Karen,1953-10-03,F,rep,CA,37,Democrat,http://bass.house.gov,408 Cannon HOB; Washington DC 20515-0537,202-225-7084,https://bass.house.gov/contact-me/email-me,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,190867440939405,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,01996,N00031877,,62502,412404,28963,,gIQA45LZKP,21110,Karen Bass
Becerra,Xavier,1958-01-26,M,rep,CA,34,Democrat,http://becerra.house.gov,1226 Longworth HOB; Washington DC 20515-0534,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/,http://becerra.house.gov/index.php?format=feed&amp;type=rss,RepBecerra,XavierBecerra,90311772229,XavierBecerra,UCoY0rJzkgkl1TmoKTUKTI6w,B000287,00070,N00009774,,26567,400021,26754,Xavier Becerra,gIQAenAR9O,29316,Xavier Becerra
Benishek,Dan,1952-04-20,M,rep,MI,1,Republican,http://benishek.house.gov,514 Cannon HOB; Washington DC 20515-2201,202-225-4735,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov/rss.xml,CongressmanDan,CongressmanDan,124163654317596,,,B001271,02027,N00031934,,61860,412436,123056,Dan Benishek,gIQAOvErKP,21141,Dan Benishek
Bennet,Michael,1964-11-28,M,sen,CO,,Democrat,http://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,http://www.bennet.senate.gov/contact/email,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senatorbennet,97172997732,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,01965,N00030608,S330,1031622,412330,110942,Michael Bennet,gIQA8vao9O,40910,Michael Bennet
Bilirakis,Gus,1963-02-08,M,rep,FL,12,Republican,https://bilirakis.house.gov,2112 Rayburn HOB; Washington DC 20515-0912,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,135445766485586,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,01838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,gIQAjtHPAP,20758,Gus Bilirakis
Bishop,Rob,1951-07-13,M,rep,UT,1,Republican,http://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,01753,N00025292,,1003621,400029,50544,Rob Bishop,gIQALHQPAP,20357,Rob Bishop
Bishop,Sanford,1947-02-04,M,rep,GA,2,Democrat,http://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,http://bishop.house.gov/contact,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,366739521606,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,00091,N00002674,,26194,400030,26817,,gIQATrCOAP,29339,Sanford Bishop
Black,Diane,1951-01-16,F,rep,TN,6,Republican,http://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,https://black.house.gov/contact-me/email-me,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,186436274719648,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,02063,N00031539,,9268964,412478,25292,,gIQAtZuYKP,21180,Diane Black
Blackburn,Marsha,1952-06-06,F,rep,TN,7,Republican,http://blackburn.house.gov,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,6470828395,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,01748,N00003105,,31226,400032,25186,Marsha Blackburn,gIQALZuKAP,20351,Marsha Blackburn
Blumenauer,Earl,1948-08-16,M,rep,OR,3,Democrat,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,00099,N00007727,,43809,400033,367,Earl Blumenauer,gIQAqvaOAP,29588,Earl Blumenauer
Blumenthal,Richard,1946-02-13,M,sen,CT,,Democrat,http://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,289987304364966,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,02076,N00031685,S341,21799,412490,1568,Richard Blumenthal,gIQAeNwz6O,41101,Richard Blumenthal
Blunt,Roy,1950-01-10,M,sen,MO,,Republican,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,142473042477322,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,01464,N00005195,S342,45465,400034,418,Roy Blunt,gIQAUcQL9O,29735,Roy Blunt
Boozman,John,1950-12-10,M,sen,AR,,Republican,http://www.boozman.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,7686715735,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,01687,N00013873,S343,92069,400040,27958,John Boozman,gIQAxKQPAP,20101,John Boozman
Bordallo,Madeleine,1933-05-31,F,rep,GU,0,Democrat,http://bordallo.house.gov,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,https://bordallo.house.gov/contact-me,http://bordallo.house.gov/rss.xml,,madeleine.bordallo,161729837225622,,,B001245,01723,N00024866,,1003568,400041,1751,,,,Madeleine Bordallo
Boustany,Charles,1956-02-21,M,rep,LA,3,Republican,http://boustany.house.gov,1431 Longworth HOB; Washington DC 20515-1803,202-225-2031,https://boustanyforms.house.gov/contact-me/,http://www.house.gov/common/rss/index.cfm?rss=82,RepBoustany,RepBoustany,197407646951718,boustanyla07,UC2S34gtxbiXDloza9EgFAZA,B001255,01787,N00026595,,1013047,400636,35514,Charles Boustany Jr.,gIQAiMQPAP,20514,Charles Boustany
